expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.095681190490723, real_ur: 7.025842666625977
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.0940399169921875, real_ur: 7.023806095123291
expected_ul: 8.355447580780506, expected_ur: 8.259830008591209, pwm_l: 97.156367218378, pwm_r: 96.0445349836187, real_ul: 7.085676670074463, real_ur: 7.023379325866699
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.35836935043335, real_ur: 7.131546974182129
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.35871696472168, real_ur: 7.137576580047607
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.376039028167725, real_ur: 7.1515045166015625
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.397830963134766, real_ur: 6.881195545196533
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.404393196105957, real_ur: 7.11665153503418
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.426263332366943, real_ur: 7.126980304718018
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.433226585388184, real_ur: 7.122690200805664
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.417717456817627, real_ur: 7.1028923988342285
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.413758754730225, real_ur: 7.12069845199585
expected_ul: 5.010620931009804, expected_ur: 8.398791548511912, pwm_l: 58.263034081509346, pwm_r: 97.66036684316178, real_ul: 5.41175651550293, real_ur: 7.125527381896973
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.293919563293457, real_ur: 6.845822334289551
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.294873237609863, real_ur: 6.846165657043457
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.2975873947143555, real_ur: 6.842767238616943
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.286418437957764, real_ur: 6.82750129699707
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.289809703826904, real_ur: 6.831412315368652
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.290524005889893, real_ur: 6.840648651123047
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.2733049392700195, real_ur: 6.855191707611084
expected_ul: 6.350536311425429, expected_ur: 7.720861719869331, pwm_l: 73.84344548169105, pwm_r: 89.77746185894571, real_ul: 6.262841701507568, real_ur: 6.881374359130859
